Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2017,5,8,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Kiri Sotsiaalministeeriumile,https://drive.google.com/file/d/13Ap47xNmyhdERdiiXlpwIcIrq_DqSmEe/view?usp=sharing,,,,,,
2017,4,17,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Aleksander Laane kiri,https://drive.google.com/file/d/19lSNvpaLTz8oX_r79f2REIMPf8f58TcL/view?usp=sharing,,,,,,
"2017,4,11,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,""Toimub avaliku istungi ülekanne. Sotsiaalkomisjon arutab 11.04.2017 avalikul istungil kollektiivseid pöördumisi Ravikanepi kasutamisest ja kanepituru reguleerimisest. Vaata kell 14 algavat ülekannet: https://www.riigikogu.ee/live/4/et"
"Ettekande teevad Kanada kannabinoidravi ekspert dr Michael Verbora ja Tartu Ülikooli närvikliiniku neuroloog dr Sulev Haldre."",,,,,,,"
2017,4,7,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,,https://drive.google.com/file/d/17KiROBi311tktz3VPdZCqy1JdCzO1uha/view?usp=sharing,,,,,,
2017,2,13,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/12Gf2vpx9Et5BHWjpYKfal8dbM2ZGNksp/view?usp=sharing,,,,,,
2017,2,7,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/1T1zJPSagvQhIPZowFVroa27QicDG44Ph/view?usp=sharing,,,,,,
2017,2,7,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Eesti Arstide Liidu seisukoht kanepi kasutamise ja regulatsiooni kohta meditsiinis,https://drive.google.com/file/d/19WocztQ1qRaEFheoMJi-2gEU82b1QRgf/view?usp=sharing,,,,,,
2017,1,17,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,sotsiaalkomisjoni protokoll,https://drive.google.com/file/d/1ih7I1DI5lFD_HW2_DuPozYY6wdRMWjBh/view?usp=sharing,,,,,,
2016,12,8,,,,,,,Ravikanep tuleb patsientidele reaalselt kättesaadavaks teha,Kollektiivse pöördumise menetlusse võtmine,,,,,,,
2017,5,8,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Link 08.05.2017 kirjale,https://drive.google.com/file/d/1wQJx72cKZ42TLwxRUJUop19HZO6JkQkG/view?usp=sharing,,,,,,
2017,4,20,,,,,,,Kanepituru parema reguleerimise ettepanekud Riigikogule,Elver Loho 20.04.2017 märgukiri,https://drive.google.com/file/d/1XHH871zgsNwLta9oVi4pcTfMwA1aieSc/view?usp=sharing,,,,,,
